ID,SMILES,AV_Bit,AV
Ligand208,CC[C@H]([C@H]1O[C@@]2(C[C@@H]3C[C@@H](C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@@H]5[C@@H](C(=C[C@@H](C(=O)O3)[C@]45O)C)O)C)O[C@H]3C[C@@H]([C@H]([C@H](C)O3)O[C@H]3C[C@@H]([C@H]([C@H](C)O3)O)OC)OC)\C)O2)CC[C@@H]1C)C,1,-4.544705748
Ligand209,Oc1ccc(cc1Cc1cc(ccc1O)Cl)Cl,1,-4.543480366
Ligand210,CNCCCC12CCC(c3ccccc13)c1ccccc21,1,-4.538933086
Ligand211,Oc1ccc(C=C2CCCC(=Cc3cc(c(cc3)O)OC)C2=O)cc1OC,1,-4.536992441000001
Ligand212,CCCCCCCC(=O)O[C@@H]1[C@H](C(=C2[C@@H]3OC(=O)[C@](O)(C)[C@]3([C@@H](OC(=O)CCC)C[C@@](OC(=O)C)(C)[C@@H]12)O)C)OC(=O)/C(=C\C)/C,1,-4.536835251
Ligand213,CN1CCN(CC1)CCCN1c2c(cccc2)Sc2ccc(C(F)(F)F)cc12,1,-4.536438022
Ligand214,CCCCC(CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CCCC)CC)CC,1,-4.536096161000001
Ligand215,Oc1ccc(c2cccnc12)Cl,1,-4.533422535
Ligand216,NC1CCc2cc(O)c(cc2C1)O,1,-4.526070684
Ligand217,Clc1ccc(C(=O)c2c3ccc(OC)cc3n(CC(=O)O)c2C)cc1,1,-4.525806355
Ligand218,[O-][N+](=O)c1cccc(C2C(=C(NC(=C2C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)N)C)C(=O)OC(C)C)c1,1,-4.518225313
Ligand219,FC(c1cc(C2(CCN(CC2)CCCC(c2ccc(cc2)F)c2ccc(cc2)F)O)ccc1Cl)(F)F,1,-4.516553569
Ligand220,c1ccc2Sc3ccccc3N(CC3CN4CCC3CC4)c2c1,1,-4.515748648
Ligand221,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,1,-4.513047534
Ligand222,COc1ccc(c2cc(=S)ss2)cc1,1,-4.510670593
Ligand223,O=C(Nc1ccc(cc1)OCC(CNC(C)(C)C)O)NC1CCCCC1,1,-4.505745196
